Date,EU_CPIYOY,EU_GDPYOY,EURIBOR,GDPYOY,INFL,ROBOR3M,LT_IR,EURRON,ROKEPOLA,LENDRATE,DEPRATE,UNEMP,DR_12
3/31/2002,0.02559085,0.004074275,0.03361468,0.035,0.269666667,0.3613,,2.852566667,,,,0.132,
6/30/2002,0.021117065,0.008837609,0.03446064,0.058,0.243,0.3304,,3.0317,,,,0.106,
9/30/2002,0.021060742,0.011551891,0.03358864,0.054,0.213666667,0.277433333,,3.237633333,,,,0.087666667,
12/31/2002,0.022949368,0.012011363,0.03116203,0.055,0.184,0.224566667,,3.362966667,,,,0.082333333,
3/31/2003,0.023215464,0.007951094,0.02685365,0.052,0.166666667,0.191866667,,3.543666667,0.191566667,,,0.086666667,
6/30/2003,0.019967323,0.003248572,0.02359145,0.049,0.148,0.186333333,,3.747766667,0.183533333,,,0.076333333,
9/30/2003,0.020710225,0.004707671,0.02139106,0.063,0.149666667,0.1999,,3.746,0.188533333,,,0.069,
12/31/2003,0.020974854,0.010400745,0.02149312,0.054,0.148,0.217166667,,3.971466667,0.206866667,,,0.072,
3/31/2004,0.017389144,0.019326534,0.02061766,0.06,0.135666667,0.223866667,,4.066333333,0.2125,,,0.077666667,
6/30/2004,0.023236644,0.02428368,0.02083444,0.07,0.122666667,0.222066667,,4.0687,0.211133333,,,0.069666667,
9/30/2004,0.022959666,0.021187435,0.02116303,0.095,0.118666667,0.200066667,,4.096666667,0.194233333,,,0.062,
12/31/2004,0.023443842,0.017344546,0.02164,0.098,0.1,0.184666667,,4.002333333,0.180933333,,,0.062,
3/31/2005,0.020713832,0.014453431,0.02140355,0.058,0.088333333,0.139266667,,3.664533333,0.1594,,,0.062666667,
6/30/2005,0.020417967,0.014593874,0.02124446,0.047,0.099,0.098433333,,3.6141,0.1269,,,0.056666667,
9/30/2005,0.023126957,0.019450447,0.02130545,0.027,0.089,0.086033333,,3.5482,0.100733333,,,0.056333333,
12/31/2005,0.023505549,0.022019925,0.02343719,0.041,0.084666667,0.069733333,,3.619066667,0.075,,,0.057666667,
3/31/2006,0.023443106,0.028836258,0.026136,0.076,0.085966667,0.081733333,,3.561366667,0.080666667,,,0.061333333,
6/30/2006,0.024854343,0.033773403,0.02895661,0.082,0.070966667,0.086433333,,3.500566667,0.0851,,,0.054666667,
9/30/2006,0.021937132,0.032236538,0.03221508,0.083,0.059033333,0.0921,,3.535633333,0.0875,,,0.049666667,
12/31/2006,0.018091824,0.038031521,0.0359019,0.08,0.0478,0.090133333,,3.482966667,0.0875,,,0.051333333,
3/31/2007,0.018971522,0.035246592,0.03820391,0.067,0.038266667,0.080066667,,3.391333333,0.083066667,0.1218,0.068933333,0.050666667,
6/30/2007,0.019139859,0.031239046,0.04067791,0.068,0.037933333,0.079566667,,3.2948,0.073233333,0.1209,0.0719,0.042,
9/30/2007,0.019123573,0.029729157,0.04493739,0.063,0.049933333,0.072633333,,3.222133333,0.07,0.112333333,0.066733333,0.038666667,
12/31/2007,0.029297996,0.023282997,0.0471839,0.075,0.066933333,0.0801,0.073053333,3.436733333,0.073333333,0.116766667,0.0713,0.041333333,
3/31/2008,0.034216424,0.021579861,0.04476274,0.104,0.079533333,0.099133333,0.082526667,3.6673,0.086466667,0.125833333,0.081466667,0.041666667,0.02288885
6/30/2008,0.037070483,0.011021112,0.04859266,0.112,0.085633333,0.115466667,0.086883333,3.658366667,0.096566667,0.1378,0.101733333,0.037666667,0.027390233
9/30/2008,0.039112251,0.001242891,0.04981727,0.111,0.0812,0.1244,0.08902,3.586333333,0.101666667,0.1469,0.113633333,0.038,0.031412625
12/31/2008,0.023552499,-0.021395394,0.04242375,0.058,0.0681,0.181233333,0.110976667,3.863766667,0.1025,0.1912,0.147233333,0.041666667,0.023512938
3/31/2009,0.010165644,-0.056606956,0.02006794,-0.052,0.0677,0.1529,0.11172,4.2858,0.100966667,0.2054,0.164733333,0.052666667,0.026991281
6/30/2009,0.002000073,-0.053569126,0.01307968,-0.069,0.060866667,0.1207,0.108966667,4.1668,0.097,0.1821,0.1398,0.058333333,0.028096539
9/30/2009,-0.003589948,-0.04488649,0.008709091,-0.062,0.049866667,0.093566667,0.106676667,4.239266667,0.086766667,0.159366667,0.103266667,0.066,0.027365091
12/31/2009,0.004216947,-0.023148217,0.007223437,-0.04,0.045633333,0.1038,0.104173333,4.280766667,0.08,0.159733333,0.096366667,0.074666667,0.025935772
3/31/2010,0.010978153,0.012335589,0.006613175,-0.031,0.0463,0.074466667,0.084386667,4.1196,0.072033333,0.135,0.081366667,0.083,0.024967471
6/30/2010,0.0159681,0.022651512,0.006863334,-0.03,0.0436,0.0625,0.076546667,4.173766667,0.064966667,0.1138,0.065933333,0.077666667,0.023719674
9/30/2010,0.017250164,0.023221445,0.008746667,-0.05,0.074966667,0.0687,0.076143333,4.2525,0.0625,0.113966667,0.065866667,0.074333333,0.021687089
12/31/2010,0.020307582,0.024320544,0.01020667,-0.041,0.078566667,0.065166667,0.074217143,4.2881,0.0625,0.103766667,0.062566667,0.07,0.019522064
3/31/2011,0.024758389,0.029162645,0.01093333,0.015,0.075333333,0.057066667,0.074238068,4.233033333,0.0625,0.108166667,0.062033333,0.065,0.045724445
6/30/2011,0.027504839,0.019125683,0.01413,0.013,0.082266667,0.055766667,0.075153716,4.128833333,0.0625,0.103049389,0.060329549,0.051,0.046033575
9/30/2011,0.026939039,0.015769794,0.01562,0.041,0.041833333,0.057433333,0.07632316,4.282866667,0.0625,0.102133333,0.058733333,0.048666667,0.046401781
12/31/2011,0.029376287,0.005779802,0.01495333,0.009,0.033766667,0.062566667,0.077167864,4.336466667,0.0609,0.107070721,0.060457183,0.050333333,0.048115644
3/31/2012,0.026880047,-0.004727902,0.01042667,0.022,0.0257,0.050333333,0.071659596,4.352766667,0.056033333,0.102533333,0.055466667,0.053333333,0.055268443
6/30/2012,0.024613246,-0.008015658,0.00697,0.038,0.018766667,0.0488,0.066888636,4.4251,0.0525,0.098627841,0.051488913,0.046666667,0.061966518
9/30/2012,0.025465982,-0.010028648,0.003583333,0.005,0.0407,0.056133333,0.068448333,4.524666667,0.0525,0.103533333,0.052666667,0.049666667,0.066321519
12/31/2012,0.023023403,-0.010506152,0.001953333,0.022,0.048233333,0.058866667,0.068332611,4.5403,0.0525,0.105766667,0.0534,0.054,0.067530723
3/31/2013,0.018574573,-0.012296204,0.00211,0.022,0.056233333,0.057233333,0.059400397,4.3869,0.0525,0.1047,0.0525,0.055666667,0.03805292
6/30/2013,0.01401286,-0.003742101,0.002066667,0.016,0.053266667,0.043666667,0.054850315,4.403266667,0.0525,0.103266667,0.0449,0.049666667,0.032299876
9/30/2013,0.013452915,0.000431909,0.002233333,0.042,0.0332,0.040266667,0.053269013,4.4431,0.046933333,0.092366667,0.039866667,0.049333333,0.027852136
12/31/2013,0.008119365,0.007140238,0.002413333,0.052,0.017533333,0.0279,0.053559151,4.4523,0.040966667,0.0808,0.031166667,0.055666667,0.024726966
3/31/2014,0.006483756,0.015707076,0.00295,0.045,0.0105,0.029266667,0.054885794,4.513133333,0.036166667,0.079266667,0.028233333,0.057666667,0.023510666
6/30/2014,0.005654487,0.01213467,0.002986667,0.023,0.009366667,0.0279,0.049546667,4.429033333,0.035,0.076,0.025733333,0.049666667,0.02151467
9/30/2014,0.00351971,0.013646372,0.001646667,0.038,0.0111,0.023833333,0.043951241,4.426366667,0.0334,0.0712,0.023533333,0.051,0.020228556
12/31/2014,0.001637603,0.015502419,0.000816667,0.033,0.011766667,0.020533333,0.039580378,4.435133333,0.028433333,0.067166667,0.019566667,0.052,0.019356328
3/31/2015,-0.003187425,0.018433862,0.00046,0.043,0.005333333,0.014533333,0.031200606,4.4527,0.023666667,0.063633333,0.016366667,0.055333333,0.019211153
6/30/2015,0.00435901,0.020741836,-0.00006,0.034,0.000866667,0.013466667,0.036798884,4.449433333,0.0185,0.059233333,0.013666667,0.050666667,0.019026482
9/30/2015,0.003941277,0.020424362,-0.00028,0.038,-0.017566667,0.0137,0.039184419,4.425566667,0.0175,0.058366667,0.011933333,0.05,0.018291409
12/31/2015,0.002568697,0.020196296,-0.000896667,0.04,-0.012366667,0.0116,0.036201515,4.460266667,0.0175,0.0558,0.0105,0.049333333,0.018565752
3/31/2016,0.000538625,0.019037743,-0.001863333,0.043,-0.025966667,0.008366667,0.035154812,4.491433333,0.0175,0.057466667,0.007633333,0.048666667,0.018611124
6/30/2016,-0.001093222,0.017789838,-0.00258,0.06,-0.0247,0.007633333,0.036274667,4.495133333,0.0175,0.056833333,0.007066667,0.047,0.018817744
9/30/2016,0.002629181,0.017799617,-0.002983333,0.043,-0.005166667,0.0077,0.031233333,4.4677,0.0175,0.055066667,0.006,0.048,0.018670496
12/31/2016,0.007322043,0.021232377,-0.003126667,0.048,-0.005466667,0.0077,0.033760523,4.506766667,0.0175,0.050633333,0.005733333,0.048,0.017789085
3/31/2017,0.01735872,0.021626148,-0.00328,0.057,0.001433333,0.008266667,0.037248,4.5135,0.0175,0.055533333,0.005533333,0.047,0.017312846
6/30/2017,0.015190528,0.025944995,-0.003296667,0.061,0.007,0.008633333,0.038456,4.5425,0.0175,0.057433333,0.004933333,0.042666667,0.017697733
9/30/2017,0.014869578,0.029321195,-0.003293333,0.088,0.014466667,0.0094,0.040309333,4.582366667,0.0175,0.054333333,0.005333333,0.041666667,0.018615149
12/31/2017,0.014139214,0.029815512,-0.00329,0.068,0.0306,0.019933333,0.043633333,4.626233333,0.0175,0.059,0.010733333,0.04,0.020003452
3/31/2018,0.012697997,0.025553469,-0.00328,0.04,0.046633333,0.020366667,0.0437,4.652266667,0.021233333,0.065933333,0.010933333,0.039,0.022095281
6/30/2018,0.017214378,0.022033329,-0.00325,0.041,0.053433333,0.026166667,0.048366667,4.6553,0.024,0.070433333,0.016333333,0.035133333,0.02305163
9/30/2018,0.021120205,0.016312871,-0.003196667,0.042,0.048833333,0.032733333,0.049533333,4.647066667,0.025,0.073266667,0.021433333,0.0344,0.023076403
12/31/2018,0.019090471,0.012291607,-0.003153333,0.044,0.0365,0.031633333,0.049433333,4.6589,0.025,0.072266667,0.0211,0.0332,0.023677574
3/31/2019,0.014269719,0.014859736,-0.003083333,0.05,0.037066667,0.031,0.0487,4.737723333,0.025,0.0754,0.020633333,0.032766667,0.02398929
6/30/2019,0.014034625,0.012123658,-0.00317,0.044,0.040133333,0.032966667,0.048833333,4.750666667,0.025,0.0753,0.021666667,0.029566667,0.024653828
9/30/2019,0.009543362,0.013071756,-0.00397,0.03,0.038366667,0.030933333,0.0431,4.733333333,0.025,0.070333333,0.021533333,0.030133333,0.024673595
12/31/2019,0.010036758,0.009593918,-0.00403,0.043,0.037333333,0.0303,0.044533333,4.768533333,0.025,0.069233333,0.0222,0.03,0.023113439
3/31/2020,0.011074947,-0.031477459,-0.004056667,0.024,0.032666667,0.030333333,0.043433333,4.7971,0.024193333,0.0697,0.0215,0.029666667,0.022643138
6/30/2020,0.003,-0.117887837,-0.00376,-0.1,0.025066667,0.023666667,0.0442,4.836666667,0.019166667,0.054133333,0.021266667,0.029333333,0.019986225
9/30/2020,-0.003,-0.02832862,-0.004914,-0.056,0.026433333,0.020866667,0.0377,4.8446,0.015833333,0.049666667,0.018166667,0.032666667,0.017639958
12/31/2020,-0.003,-0.023208707,-0.005381,-0.015,0.021466667,0.020733333,0.0309,4.8713,0.015,0.048266667,0.016533333,0.033333333,0.017833945
3/31/2021,0.013,0.007342964,-0.005391,-0.001,0.030666667,0.016033333,0.027766667,4.878233333,0.0125,0.045766667,0.013266667,0.033333333,0.017605612
6/30/2021,0.019,0.152600681,-0.005429,0.154,0.036433333,0.0154,0.029933333,4.923466667,0.0125,0.0434,0.012233333,0.031,0.017741915
9/30/2021,0.034,0.070051171,-0.00545,0.069,0.054966667,0.0163,0.036533333,4.931466667,0.0125,0.041966667,0.012066667,0.029333333,0.018681642
12/31/2021,0.05,0.077461986,-0.00582,0.024,0.079766667,0.026766667,0.050766667,4.9486,0.016666667,0.045266667,0.0171,0.027333333,0.019362826
3/31/2022,0.074,0.095666151,-0.004954,0.063,0.0901,0.038266667,0.057233333,4.946166667,0.023333333,0.054466667,0.024666667,0.028666667,
6/30/2022,0.086,0.090046376,-0.002392,0.051,0.144333333,0.057866667,0.0773,4.9449,0.035,0.070133333,0.0429,0.028333333,
9/30/2022,0.099,0.072241723,0.010109,0.038,0.153866667,0.0795,0.0849,4.914366667,0.0525,0.089266667,0.064833333,0.029,
12/31/2022,0.092,0.074730276,0.020635,0.046,0.1615,0.078533333,0.079833333,4.9207,0.065833333,0.098033333,0.069733333,0.030333333,
